URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
B0_693,98,18,UTF-8,nginx,NA,KG,KG,29/12/2007 0:00,14/11/2016 0:00,21,3,6,2038,25,14,1507,2354,25,4.0,0
B0_855,41,9,ISO-8859-1,Apache,NA,AU,Queensland,22/03/2006 0:00,22/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_43,43,9,ISO-8859-1,cloudflare-nginx,NA,CA,Quebec,10/04/2002 0:00,9/06/2016 0:00,20,4,7,1511,22,21,14430,1663,22,2.0,0
M4_12,100,20,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,0,0,0,0,0,3,186,0,0,0.0,1
B0_1293,52,10,UTF-8,Apache,NA,US,CA,14/04/1998 0:00,14/04/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_222,40,8,UTF-8,Apache/2.2.23 (Amazon),11590,US,New York,26/09/2005 0:00,23/07/2011 0:00,156,17,12,23383,162,206,295213,23877,162,6.0,0
B0_971,35,8,ISO-8859-1,Apache,1002,AT,Austria,1/06/2004 0:00,2/06/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2042,100,15,utf-8,nginx/1.4.6 (Ubuntu),NA,CA,British Columbia,5/11/2003 0:00,6/11/2016 0:00,8,3,5,660,8,13,798,660,8,0.0,0
B0_976,40,7,UTF-8,GSE,6498,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1248,67,9,ISO-8859-1,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4,4440,US,Arizona,16/09/2004 0:00,28/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_663,49,10,ISO-8859-1,nginx,1505,US,Ohio,8/01/2004 0:00,3/01/2017 0:00,43,11,15,5371,49,46,16215,5845,49,6.0,0
B0_77,82,18,UTF-8,GSE,53520,US,CA,31/07/2000 0:00,29/06/2016 0:00,45,2,5,3565,49,49,58127,3903,49,4.0,0
B0_477,46,12,ISO-8859-1,None,1819,US,CA,2/11/2002 0:00,2/02/2017 0:00,70,21,7,9463,80,80,133235,10217,80,10.0,0
B0_1261,86,15,UTF-8,GSE,NA,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_575,42,9,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CA,22/10/1998 0:00,16/03/2017 0:00,29,14,15,2767,33,27,3550,3073,33,4.0,0
M0_150,39,11,UTF-8,nginx,661,None,None,None,None,20,0,6,2328,26,26,3285,2772,26,6.0,1
B0_845,58,11,UTF-8,Server,NA,US,NV,1/11/1994 0:00,30/04/2014 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2299,41,9,UTF-8,Apache,7065,US,Arizona,4/11/2003 0:00,4/11/2016 0:00,5,3,3,576,6,8,522,576,6,0.0,0
